我、名を%sと申すなり。\n汝に従いて、覇道を往かん……,吾名为%s。\n谨遵汝命，共成霸业……,
私の名は%s。\nよろしくたのむ……,我是%s。\n请多指教……,
アタシ、%s。\n今後ともヨ・ロ・シ・クね♪,本小姐就是%s。\n今后请多・多・指・教哦♪,
私の名は%s。\n今後とも、どうぞよろしくお願いします。,我叫%s。\n今后请多多指教。,
ボク、%s！\n今後とも、よろしくね！,我的名字叫%s。\n今后请多指教哦！,
あたし、%s！\nこれからヨロシクねぇ♪,人家叫做%s。\n请多多指教哦♪,
オレの名は%s。\nよろしく頼むぜ！,叫我%s就好，多多指教啦！,
うぉれは%s！\nたった今からぁぁ、うぉまえと一緒ぉぉ！！,俺……就是……%s！\n从现在起，咱们就是兄弟啦！,
オレサマハ、%s。\nコンゴトモ、ヨロシク……,我就是%s。\n从今起我们就是同伴了……,
うぅぅぅ…　%sだぁぁ…\nオマエに憑き従うぞぉぉぉ……,呜呜……我是%s……\n就附在你身上咯……,
オイラ、%s！\n今後とも、よろしくだホ！,偶是%s！\n今后请多多指教呵！,
ふむ・・&#10;\nどうやら失敗のようじゃ。,嗯……\n看来失败了呢。,
予定とは違う悪魔が出来て&#10;\nしまったようじゃな。,看来出现了和预期不一样的\n恶魔了呢。,
私は名無し・・・&#10;\nそういう事だ。,我沒有名字……\n就这样了。,
主よ、待たせたな……\n我の新たなる力、見せてしんぜよう……,,
やれやれ、また一からやりなおしか。\n覚悟はいいな？　付き合ってもらうぞ。,,
バッチリよ、お・ま・た・せ♪\n言っとくけどアタシ、凄いわよ？,,
お待たせしました。この新たな力……\n貴方のために振るいましょう。,,
見て見て、ボク強くなったかな？\nこれからもよろしくね！,,
えへへ、ただいまっ。\nあたし、少しはオトナになったかな？,,
おう、待たせたな！\nさっさとレベルを上げにいこうぜ！,,
グヒャヒャ！　リ・ユ・ニ・オーン！,,
ガウ……オレサマ　ウマレカワッタ！\nコレカラモ　ヨロシク！,,
なんとかぁぁ成功……みたいだぁぁ……\n成仏するかとぉ……思ったぞぉぉ……,,
ヒーホー！　なんかスッキリしたホ。\nこれからも一緒に頑張るホー！,,
…これが新しい力か。\n思う存分ふるわせてもらおう。,,
ウヒャヒャ！　ミッタマを感ジルうぅうぅ！,,
再び高みを目指すのだな。\nよかろう、我もまた汝と共にあろう。,,
…使えぬ力など無用…\n次なる力ではこうはいかぬぞ。,,
フッフ～ン、お・ま・た・せ♪\n次はもっと強い力、お願いね？,,
これでまた新たな力を得られますね。\n我が身、どこまでも貴方と参りましょう。,,
うっわー！　体がかるーい！\nまた新しい力をつけられそうだよ！,,
えへへ、ただいまっ。\nまたあたしを強くしてね？,,
よっし、次だ次だ！\nオレはまだまだ強くなるぜぇ！,,
ぎぃぃひゃあぁぁぁ！　ミタマあああぁぁ？\nどこイッタあぁあああ？！,,
オレサマ、ミタマ、オミオクリ！\nオカワリ、ミタマ、マルカジリ！,,
御魂とお別れぇぇ…かなしぃぃ…\nオレもぉ…逝きそうだったぞぉぉ…,,
ヒホ♪　スッキリなんだホ！\n次はもっともっと頑張るホー！,,
よっし、次だ次だ！\nオレは何度でも強くなるぜぇ！,,
ぎぃぃひゃあぁぁぁ！　チカラあああぁぁ？\nどこイッタあぁあああ？！,,
ガウ……オレサマ　マタウマレタ！\nコレカラモ　ヨロシク！,,
チカラとお別れぇぇ…かなしぃぃ…\nオレもぉ…逝きそうだったぞぉぉ…,,
おう、待たせたな！\nさっさと戦いにいこうぜ！,,
ウヒャヒャ！\nチチ、チッ、チッカラを感ジルうぅうぅ！,,
なんかぁぁ……つよくなったぁぁ……\n成仏するかとぉ……思ったぞぉぉ……,,
